"User Name","Avatar","Country","Room Info","Stay Date","Traveller Type","Review Title","Rating","Happy Review","Unhappy Review","Review Date","Scraped At"
"Domer","https://lh3.googleusercontent.com/a/AEdFTp56Dz2rph3TL2ykqROLxH-Cn_CcEfB7YkG98LuFEA=s96-c","
                                    
                                Isle of Man","






Queen Room


","




1 night · 

March 2024


","




Solo traveller

","
Great place, great location, wonderful staff
"," 10 ","Great location. Wonderful amenities","Liked everything","
Reviewed: 18 March 2024
","2024-05-01T11:22:24.757Z"
"Kevin","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Good hotel, excellent location, rip off parking fee (£60 reduced to £45  for 8 hour stay)
"," 8.0 ","Left before breakfast. Location excellent.","Astronomic car park price for one short night. Only advised of excessive charge in email 3 days prior to stay. Would have book another hotel further out if I had known at time of booking.","
Reviewed: 1 May 2024
","2024-05-01T11:22:24.757Z"
"Tamsin","https://lh3.googleusercontent.com/a/AGNmyxaTkmfpiGlLWsKEpJTU_15dY_JVz7PWe74CP4MK=s96-c","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Family

","
Superb
"," 9.0 ","Shower excellent, room was lovely, comfortable and quiet!","","
Reviewed: 30 April 2024
","2024-05-01T11:22:24.757Z"
"Juliet","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Solo traveller

","
Hotel staff excellent, rooms comfortable but overpriced meals and drinks on top of expensive rooms.
"," 7.0 ","Proximity to the airport. Comfort and cleanliness of the rooms.","Drinks and food overpriced. 
Plastic dispensers for breakfast buffet eg storing bacon etc
Cooked breakfast either looked tired or lacked components","
Reviewed: 30 April 2024
","2024-05-01T11:22:24.757Z"
"Anna","https://lh3.googleusercontent.com/a/ACg8ocLOFPk4jlNDXtwSSGjoyFRCn-GxXwRdA_UhPxEUdkvu=s96-c","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

April 2024


","




Solo traveller

","
Staff as helpful and pleasant as possible though
"," 8.0 ","Given how new the hotel is and the price I was surprised by how worn and dirty some things were.Like seating in restaurent area and chairs in room The shower was backing up the drain.","It would be good given the long ramos up to the terminal for an 80 yr old to pull a suitcase for trolleys to be available at the hotelI got one the night before and brought it down - a palaver","
Reviewed: 30 April 2024
","2024-05-01T11:22:24.757Z"
"Jane-anne","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Couple

","
Very convenient comfortable hotel perfect for the tired traveller
"," 9.0 ","Clean room, comfy bed and good quality sheets and towels. Spotlessly clean bathroom. Adequate room size. No complaints. Breakfast had a good choice. Staff went out of their way to assist.","We were quite  happy with everthing","
Reviewed: 28 April 2024
","2024-05-01T11:22:24.757Z"
"Deirdre","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                Cyprus","






Queen Room with Sofa Bed


","




1 night · 

April 2024


","




Solo traveller

","
Given a disability access room, this had not been requested. Reception were very reluctant to change
"," 7.0 ","Continental breakfast available due to early morning departure","","
Reviewed: 28 April 2024
","2024-05-01T11:22:24.757Z"
"Daniel","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

April 2024


","




Couple

","
Great location but some practices are budget hotel when paying normal hotel prices
"," 9.0 ","Location","Prices compared to value","
Reviewed: 28 April 2024
","2024-05-01T11:22:24.757Z"
"Rupert","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

April 2024


","




Family

","
Superb
"," 9.0 ","The location was great, the breakfast had everything you would want, and check out time was good.","Perhaps a small fridge in the room would be good.","
Reviewed: 28 April 2024
","2024-05-01T11:22:24.757Z"
"Patricia","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                Ireland","






Queen Room


","




1 night · 

April 2024


","




Group

","
Good
"," 7.0 ","Room and bed very comfortable 
Location for airport excellent.","Food.
Breakfast just OK, bacon dried out at 7 am
Evening meal , poor selection and what I ordered was cold and had no flavour.","
Reviewed: 28 April 2024
","2024-05-01T11:22:24.757Z"
